	PG13	PG14	PG15	PG16	PG17	PG18	PG19	PG20
ENSG00000000003	7.1636869766492	7.00128442646964	6.84189432542775	6.86157524208128	6.8779579724907	6.97230172807439	7.07627338521311	6.82721203556253
ENSG00000000419	5.78713969996559	6.39050124617558	6.59063588993398	6.72640348799046	6.467640922202	6.43007579196491	6.69399833130989	6.68331143939236
ENSG00000000457	3.93039239498571	4.16541473455109	3.70434170597331	3.86363888121689	3.65103868642331	3.84036349785943	3.81336426589169	3.52049401328894
ENSG00000000460	3.25334189169689	3.47525985358046	4.64810008004056	4.6225033238161	2.64595167719562	3.22868529934916	4.28775600598759	4.41786907432143
ENSG00000001036	5.99518473564735	5.88584998217079	6.28961312882903	6.14539327896695	5.93517355035389	5.794055551764	6.18189886938552	6.24247787185692
ENSG00000001084	6.4662005404429	6.39916577204542	6.22321146836708	6.30809631705193	7.64501467903787	7.74768457942691	7.2865944071945	7.42685421753985
ENSG00000001167	5.75889074012227	5.82926963118568	5.76384500286438	5.80309710081564	6.23448697083364	6.0366442851678	5.94052572745937	5.70526557503273
ENSG00000001460	2.81502564385198	2.53977576094638	2.67078679959126	2.53140403654091	2.83987019002942	2.58192378363663	2.8393929110971	2.14919505754102
ENSG00000001461	4.36457759356119	4.14495437149387	4.0967473989692	4.32785819058476	3.68510410772851	4.05906865371997	4.42193913668301	4.24453128036278
ENSG00000001497	3.93039239498571	3.82309265116296	4.89257652350061	4.6785102006215	4.09294698856344	4.16762183594466	4.21567427027709	4.57259660097283
ENSG00000001561	5.84203048243907	5.95799589306197	5.69845835765919	5.769107267605	6.08940232634728	5.96022569461376	5.92365687390738	5.85534304731457
ENSG00000001617	2.29155343542482	2.40860815446441	2.67078679959126	2.16389998029834	2.33869698819345	2.30605698364085	2.32637092373032	2.41027959041388
ENSG00000001629	5.71054406421848	5.77037938428723	5.40881670931993	5.4315912574415	5.42217474522494	5.7031943805882	5.62288940340126	5.46775203365503
ENSG00000001631	4.1493208839263	4.185588980852	3.78408883090063	3.72866966597	3.42779967486678	3.78690683110325	3.88482831509473	4.17595198413059
ENSG00000002016	3.25334189169689	2.87402766904769	2.67078679959126	2.35932249622722	2.83987019002942	2.75892887956562	1.74399003156185	3.31261020762998
ENSG00000002079	2.48791311808049	2.77098163499382	2.44406531241668	1.66954924785433	1.83093245042657	2.70230630334825	2.51836987707256	1.83018683970303
ENSG00000002330	4.31369894026493	4.12419965921083	4.45451374767141	3.83106178875178	4.23769287867371	3.96593282141254	3.48578071159746	3.81920669536099
